Категория;Группа;Артикул;Модель;Цена;Ссылка
"1_Электроинструмент";02_Перфораторы и отбойные молотки;4933478895;"Акк. SDS-Plus перфоратор M18 ONE FH-0";35990;perforatory
"1_Электроинструмент";02_Перфораторы и отбойные молотки;4933478886;"Акк. SDS-Plus перфоратор M18 ONE FH-0X";37990;perforatory
"1_Электроинструмент";02_Перфораторы и отбойные молотки;4933478884;"Акк. SDS-Plus перфоратор M18 ONE FHP-0X";48990;perforatory
"1_Электроинструмент";02_Перфораторы и отбойные молотки;4933478498;"Акк. SDS-Plus перфоратор с системой пылеудаления M18 ONE FHPX DEL-552C FUEL (Li-Ion 5.5 Ач)";112490;perforatory
"1_Электроинструмент";02_Перфораторы и отбойные молотки;4933478885;"Акк. SDS-Plus перфоратор M18 ONE FHPX-0";52490;perforatory
"1_Электроинструмент";02_Перфораторы и отбойные молотки;4933478495;"Акк. SDS-Plus перфоратор M18 ONE FHPX-0X FUEL";54490;perforatory
"1_Электроинструмент";02_Перфораторы и отбойные молотки;4933478496;"Акк. SDS-Plus перфоратор M18 ONE FHPX-552X FUEL (Li-Ion 5.5 Ач)";90490;perforatory
"1_Электроинструмент";02_Перфораторы и отбойные молотки;4933478506;"Акк. SDS-Plus перфоратор с системой пылеудаления M18 ONE FHX DEL-552C FUEL (Li-Ion 5.5 Ач)";101490;perforatory
"1_Электроинструмент";02_Перфораторы и отбойные молотки;4933478502;"Акк. SDS-Plus перфоратор M18 ONE FHX-0";41490;perforatory
"1_Электроинструмент";02_Перфораторы и отбойные молотки;4933478503;"Акк. SDS-Plus перфоратор M18 ONE FHX-0X FUEL";43490;perforatory
"1_Электроинструмент";02_Перфораторы и отбойные молотки;4933478504;"Акк. SDS-Plus перфоратор M18 ONE FHX-552X FUEL (Li-Ion 5.5 Ач)";79490;perforatory
"1_Электроинструмент";03_Шлифмашины;4933478772;"Акк. УШМ M18FSAG115X-0 FUEL";19490;ugloshlifovalnye-mashiny
"1_Электроинструмент";03_Шлифмашины;4933478438;"Акк. УШМ с плоским редуктором M18FSAGF125XB-0X";29490;ugloshlifovalnye-mashiny
"1_Электроинструмент";03_Шлифмашины;4933478439;"Акк. УШМ с плоским редуктором M18FSAGF125XPDB-0X";32490;ugloshlifovalnye-mashiny
"1_Электроинструмент";03_Шлифмашины;4933478774;"Акк. УШМ M18 FSAGV115XPDB-0 FUEL";25990;ugloshlifovalnye-mashiny
"1_Электроинструмент";03_Шлифмашины;4933478773;"Акк. УШМ M18 FSAGV115XPDB-0X FUEL";28490;ugloshlifovalnye-mashiny
"1_Электроинструмент";03_Шлифмашины;4933478781;"Акк. УШМ M18ONEFLAG230XPDB-0";43490;ugloshlifovalnye-mashiny
"1_Электроинструмент";03_Шлифмашины;4933478782;"Акк. УШМ M18ONEFLAG230XPDB-0C";44490;ugloshlifovalnye-mashiny
"1_Электроинструмент";03_Шлифмашины;4933478783;"Акк. УШМ M18ONEFLAG230XPDB-121C";68490;ugloshlifovalnye-mashiny
"1_Электроинструмент";04_Пылесосы и воздуходувки;4933478185;"Акк. пылесос M18 FCVL-0";31490;sbor-pyli-i-shlama
"1_Электроинструмент";04_Пылесосы и воздуходувки;4933478186;"Акк. пылесос для воды и сухого мусора M12 FVCL-0";18490;sbor-pyli-i-shlama
"1_Электроинструмент";04_Пылесосы и воздуходувки;4933478187;"Акк. пылесос для воды и сухого мусора M18 FPOVCL-0";26990;sbor-pyli-i-shlama
"1_Электроинструмент";04_Пылесосы и воздуходувки;4933478507;"Акк. cистема пылеудаления M18 FCDDEL-0";17490;sbor-pyli-i-shlama
"1_Электроинструмент";04_Пылесосы и воздуходувки;4933478509;"Акк. cистема пылеудаления M18 FDDEXL-0";22990;sbor-pyli-i-shlama
"1_Электроинструмент";04_Пылесосы и воздуходувки;4933478508;"Акк. cистема пылеудаления M18 FPDDEXL-0";22990;sbor-pyli-i-shlama
"1_Электроинструмент";05_Нарезание резьбы и канавок;4933478596;"Акк. резьбонарезной инструмент для труб M18 FPT2-0C";125490;silovoy-instrument
"1_Электроинструмент";05_Нарезание резьбы и канавок;4933478597;"Акк. резьбонарезной инструмент для труб M18 FPT2-121C";148990;silovoy-instrument
"1_Электроинструмент";05_Пилы;4933472163;"Акк. циркулярная пила M18FCSG66-0C FUEL";53990;cirkulyarnye-pily
"1_Электроинструмент";05_Пилы;4933471195;"Акк. циркулярная пила M18FCSG66-121C FUEL";78990;cirkulyarnye-pily
"1_Электроинструмент";05_Пилы;4933478777;"Акк. погружная циркулярная пила M18FPS55-0P FUEL";59990;cirkulyarnye-pily
"1_Электроинструмент";05_Пилы;4933478778;"Акк. погружная циркулярная пила M18FPS55-552P FUEL (Li-Ion 5.5 Ач)";92490;cirkulyarnye-pily
"1_Электроинструмент";05_Пилы;4933478293;"Акк. сабельная пила M18FSZ-0X";32490;sabelnye-pily
"1_Электроинструмент";05_Пилы;4933478291;"Акк. сабельная пила M18 FSZ-502X";58990;sabelnye-pily
"1_Электроинструмент";05_Пилы;4933478296;"Акк. сабельная пила M18ONEFSZ-0X";48990;sabelnye-pily
"1_Электроинструмент";05_Пилы;4933478294;"Акк. сабельная пила M18ONEFSZ-502X";74990;sabelnye-pily
"1_Электроинструмент";05_Пилы;4933472110;"Акк. циркулярная пила по металлу 66 мм M18FMCS66-0C FUEL";61990;cirkulyarnye-pily
