"id","uid","description"
"1","0xA8E38733915FD9844F1CD8DE0A9BEB4E","автотранспортная перевозка"
"4","0x9AF6219358C3D0214D1714B9CF063259","экспресс-перевозка"
"6","0x91C2110CC6B6430D4B1E2D59855A0E42","авиаперевозка"
"20","0xABE8F6204DDB074441425AC36471E421","коммерческая почта"
"21","0x95ECD458FC6439B14A92AB8206807C40","доставка малогабаритного груза"
