"uid","valueRequired","name"
"0xa77fcf6a449164ed490133777a68bd51","0","Наличие грузового лифта"
"0xadf1fc002cb8a9954298677b22dbde12","1","Поднятие (этаж)"
"0x9a0d647ddb11ebbd4ddaaf3b1d9f7b74","1","Пронос,м"
