"uid","name","day_to_day"
"0x90bc42c2d8cf7c1c47a40fc1ccfb54d5","Доверенность от Деловых линий","1"
"0x9c65f346435836584a8345ade132df00","Доверенность от получателя","0"
"0xba3a669e1ea63f7443622bd0c9c83a80","Паспорт РФ","1"
